Name,Listing id,Price,Link
Used 2012 Lexus RX 350 2WD,525280400,"16,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=525280400
Used 2011 Lexus RX 350 2WD,574132414,"14,200",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574132414
Used 2018 Lexus LX 570 4WD,574203455,"73,771",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574203455
Used 2018 Lexus RC 300,574899311,"34,950",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574899311
Used 2017 Lexus IS 200t,574641493,NA,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574641493
Used 2011 Lexus LS 460,566893774,"15,497",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566893774
Used 2008 Lexus LS 460 Luxury,572852833,"16,900",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=572852833
Used 2018 Lexus GX 460,566899638,"37,488",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566899638
Used 2013 Lexus ES 350,574248443,"17,496",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574248443
Used 2017 Lexus IS 300 AWD,566533006,"24,678",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566533006
Used 2015 Lexus RX 350 AWD,573769959,"23,880",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573769959
Used 2013 Lexus GS 350 AWD,564702236,"17,888",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=564702236
Used 2015 Lexus GS 350 AWD,573964866,"22,037",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573964866
Used 2011 Lexus GX 460,574849380,"17,900",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574849380
Used 2015 Lexus GS 350 AWD,574525752,"21,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574525752
Used 2016 Lexus IS 200t,574784302,NA,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574784302
Used 2006 Lexus GX 470,573665005,NA,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573665005
Used 2017 Lexus RX 350 FWD,573236186,"30,789",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573236186
Used 2015 Lexus GS 350 AWD,574120512,"21,777",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574120512
Used 2017 Lexus IS 200t,574166229,"26,000",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574166229
Used 2017 Lexus RX 350 AWD,573517361,"37,559",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573517361
