Name,Listing id,Price,Link,Year,Age
Used 2017 Lexus RX 350 FWD,566626076,31994,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566626076,2017,4
Used 2018 Lexus ES 350,566641516,28410,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566641516,2018,3
Used 2016 Lexus RX 350 AWD,566648196,32753,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566648196,2016,5
Used 2017 Lexus GX 460,566664206,32990,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566664206,2017,4
Used 2017 Lexus NX 200t FWD,566715419,26999,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566715419,2017,4
Used 2019 Lexus GX 460,566613336,42986,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566613336,2019,2
Used 2019 Lexus GX 460,566344333,43745,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566344333,2019,2
Used 2006 Lexus GS 300,566731371,11455,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566731371,2006,15
Used 2013 Lexus LX 570 4WD,571088953,27995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=571088953,2013,8
Used 2017 Lexus IS 300 AWD,570428200,30990,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570428200,2017,4
Used 2015 Lexus ES 350,566720329,19978,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566720329,2015,6
Used 2014 Lexus IS 250 w/ F-Sport Package,567581082,20879,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567581082,2014,7
Used 2017 Lexus ES 300h,567558714,28998,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567558714,2017,4
Used 2019 Lexus UX 250h,567766021,33950,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567766021,2019,2
Used 2018 Lexus RX 350L FWD,565437833,38300,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=565437833,2018,3
Used 2017 Lexus NX 200t FWD,566263073,25980,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566263073,2017,4
Used 2015 Lexus GX 460 Luxury,566542463,38995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566542463,2015,6
Used 2018 Lexus LS 500 AWD,567704276,53995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567704276,2018,3
Used 2017 Lexus RX 350 AWD,567747756,30500,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567747756,2017,4
Used 2019 Lexus NX 300 FWD,567776879,27844,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567776879,2019,2
Used 2008 Lexus ES 350,567774909,10995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567774909,2008,13
Used 2019 Lexus GX 460,567698720,40198,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567698720,2019,2
Used 2017 Lexus RC 300 AWD,566922027,29987,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566922027,2017,4
Used 2017 Lexus NX 200t AWD,569495245,27400,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569495245,2017,4
Used 2007 Lexus LS 460,568899695,15995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568899695,2007,14
Used 2007 Lexus ES 350,560470509,8488,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=560470509,2007,14
Used 2015 Lexus ES 350,567729630,18990,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567729630,2015,6
Used 2013 Lexus ES 350,568342468,18990,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568342468,2013,8
Used 2017 Lexus NX 200t F Sport,567620649,33990,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567620649,2017,4
Used 2012 Lexus RX 350 FWD,566216986,15250,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566216986,2012,9
Used 2013 Lexus GS 350 AWD,565953126,19495,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=565953126,2013,8
Used 2016 Lexus IS 200t,569483857,22500,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569483857,2016,5
Used 2020 Lexus NX 300 FWD w/ Comfort Package,571342861,33000,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=571342861,2020,1
Used 2017 Lexus NX 200t AWD,568214487,26890,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568214487,2017,4
Used 2020 Lexus RX 350 AWD F Sport,565053754,47289,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=565053754,2020,1
Used 2014 Lexus ES 300h,567620492,13990,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567620492,2014,7
Used 2017 Lexus NX 200t AWD,562521689,25824,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=562521689,2017,4
Used 2017 Lexus RX 450h AWD,570528528,34992,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570528528,2017,4
Used 2015 Lexus RX 350 FWD,567785685,22858,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567785685,2015,6
